iso_ts,seq,temperature_c,humidity_pct,gas_ppm,motion,range_cm,ir_left,ir_right,pan_angle,tilt_angle,fw_state,uptime_ms,lat,lon,gps_fix,gps_sats,serial_ok,ws_clients,turn_status,alert_flags
2026-09-25T18:39:57.790+00:00,951,0,0,274,0,400,0,0,90,90,3,195597,,,0,0,1,0,unavailable,128
2026-09-25T18:39:58.797+00:00,956,0,0,276,0,400,0,0,90,90,3,196599,,,0,0,1,0,unavailable,128
2026-09-25T18:40:00.024+00:00,962,0,0,276,0,400,0,0,90,90,3,197599,,,0,0,1,0,unavailable,128
2026-09-25T18:40:01.027+00:00,967,0,0,276,0,400,0,0,90,90,3,198598,,,0,0,1,0,unavailable,128
2026-09-25T18:40:02.314+00:00,973,0,0,276,0,400,0,0,90,90,3,200100,,,0,0,1,0,unavailable,128
2026-09-25T18:40:03.419+00:00,979,0,0,276,0,400,0,0,90,90,3,201100,,,0,0,1,0,unavailable,128
2026-09-25T18:40:04.420+00:00,984,0,0,275,0,400,0,0,90,90,3,202102,,,0,0,1,0,unavailable,128
2026-09-25T18:40:05.663+00:00,990,0,0,275,0,400,0,0,90,90,3,203102,,,0,0,1,0,unavailable,128
2026-09-25T18:40:06.682+00:00,995,0,0,274,0,400,0,0,90,90,3,204102,,,0,0,1,0,unavailable,128
2026-09-25T18:40:07.820+00:00,1001,0,0,274,0,400,0,0,90,90,3,205601,,,0,0,1,0,unavailable,128
2026-09-25T18:40:09.043+00:00,1007,0,0,274,0,400,0,0,90,90,3,206602,,,0,0,1,0,unavailable,128
2026-09-25T18:40:10.047+00:00,1012,0,0,274,0,400,0,0,90,90,3,207602,,,0,0,1,0,unavailable,128
2026-09-25T18:40:11.050+00:00,1017,0,0,274,0,400,0,0,90,90,3,208604,,,0,0,1,0,unavailable,128
2026-09-25T18:40:12.062+00:00,1022,0,0,274,0,400,0,0,90,90,3,209603,,,0,0,1,0,unavailable,128
2026-09-25T18:40:13.070+00:00,1027,0,0,274,0,400,0,0,90,90,3,210604,,,0,0,1,0,unavailable,128
2026-09-25T18:40:14.181+00:00,1033,0,0,274,0,400,0,0,90,90,3,211604,,,0,0,1,0,unavailable,128
2026-09-25T18:40:15.193+00:00,1038,0,0,274,0,400,0,0,90,90,3,212606,,,0,0,1,0,unavailable,128
2026-09-25T18:40:16.447+00:00,1044,0,0,274,0,400,0,0,90,90,3,214107,,,0,0,1,0,unavailable,128
2026-09-25T18:40:17.454+00:00,1049,0,0,274,0,400,0,0,90,90,3,215106,,,0,0,1,0,unavailable,128
2026-09-25T18:40:18.579+00:00,1055,0,0,274,0,400,0,0,90,90,3,216108,,,0,0,1,0,unavailable,128
2026-09-25T18:40:19.844+00:00,1061,0,0,274,0,400,0,0,90,90,3,217608,,,0,0,1,0,unavailable,128
2026-09-25T18:40:20.848+00:00,1066,0,0,274,0,400,0,0,90,90,3,218607,,,0,0,1,0,unavailable,128
2026-09-25T18:40:22.074+00:00,1072,0,0,274,0,400,0,0,90,90,3,219607,,,0,0,1,0,unavailable,128
2026-09-25T18:40:23.219+00:00,1078,0,0,274,0,400,0,0,90,90,3,220609,,,0,0,1,0,unavailable,128
2026-09-25T18:40:24.470+00:00,1084,0,0,274,0,400,0,0,90,90,3,222110,,,0,0,1,0,unavailable,128
2026-09-25T18:40:25.585+00:00,1090,0,0,274,0,400,0,0,90,90,3,223109,,,0,0,1,0,unavailable,128
2026-09-25T18:40:26.601+00:00,1095,0,0,274,0,400,0,0,90,90,3,224112,,,0,0,1,0,unavailable,128
2026-09-25T18:40:27.622+00:00,1100,0,0,274,0,400,0,0,90,90,3,225112,,,0,0,1,0,unavailable,128
2026-09-25T18:40:28.863+00:00,1106,0,0,273,0,400,0,0,90,90,3,226611,,,0,0,1,0,unavailable,128
2026-09-25T18:40:29.865+00:00,1111,0,0,273,0,400,0,0,90,90,3,227611,,,0,0,1,0,unavailable,128
2026-09-25T18:40:30.874+00:00,1116,0,0,273,0,400,0,0,90,90,3,228614,,,0,0,1,0,unavailable,128
2026-09-25T18:40:31.978+00:00,1122,0,0,273,0,400,0,0,90,90,3,229613,,,0,0,1,0,unavailable,128
2026-09-25T18:40:33.002+00:00,1127,0,0,273,0,400,0,0,90,90,3,230615,,,0,0,1,0,unavailable,128
2026-09-25T18:40:34.226+00:00,1133,0,0,273,0,400,0,0,90,90,3,231614,,,0,0,1,0,unavailable,128
2026-09-25T18:40:35.248+00:00,1138,0,0,273,0,400,0,0,90,90,3,232614,,,0,0,1,0,unavailable,128
2026-09-25T18:40:36.387+00:00,1144,0,0,273,0,400,0,0,90,90,3,234116,,,0,0,1,0,unavailable,128
2026-09-25T18:40:37.406+00:00,1149,0,0,273,0,400,0,0,90,90,3,235115,,,0,0,1,0,unavailable,128
2026-09-25T18:40:38.616+00:00,1155,0,0,273,0,400,0,0,90,90,3,236116,,,0,0,1,0,unavailable,128
2026-09-25T18:40:39.617+00:00,1160,0,0,273,0,400,0,0,90,90,3,237115,,,0,0,1,0,unavailable,128
2026-09-25T18:40:40.622+00:00,1165,0,0,273,0,400,0,0,90,90,3,238117,,,0,0,1,0,unavailable,128
2026-09-25T18:40:41.891+00:00,1171,0,0,273,0,400,0,0,90,90,3,239616,,,0,0,1,0,unavailable,128
2026-09-25T18:40:42.897+00:00,1176,0,0,273,0,400,0,0,90,90,3,240618,,,0,0,1,0,unavailable,128
2026-09-25T18:40:43.898+00:00,1181,0,0,273,0,400,0,0,90,90,3,241618,,,0,0,1,0,unavailable,128
